更新日期,#genre#
2026-08-29,https://cnb.cool/junchao.tang/jtv/-/git/raw/main/Pictures/Robot.mp4
📺┃安徽频道,#genre#
安徽卫视,http://204.12.221.218:8181/3m1080p/ahws.m3u8$IPV4•线路1
安徽卫视,http://101.35.240.114:88/live.php?id=安徽卫视$IPV4•线路2
安徽卫视,http://173.208.212.130:8181/1080p/ahwss.m3u8$IPV4•线路3
安徽卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=ahws&zy.m3u8$IPV4•线路4
安徽卫视,http://go.bkpcp.top/mg/ahws$IPV4•线路5
安徽卫视,http://222.86.15.171:9999/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路6
安徽卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226655/1.m3u8$IPV4•线路7
安徽卫视,http://gat.xyys.site/cdnlive-fusion.php?mode=play&id=5b0447ba48dbb6be1c286bab83f77e39&token=MO9fE3b9swtXd8K26mW1CeKqfWEf4gkD;machineid=495211d81289co9b;userip=140.250.232.154;useragent=Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%2012%3B%20V2166A%20Build%2Fd063e58.0%29;source=dl_app$IPV4•线路8
安徽卫视,http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路9
安徽卫视,http://219.147.245.238:25480/newlive/live/hls/40/live.m3u8$IPV4•线路10
安徽卫视,http://gmxw.7766.org:808/hls/40/index.m3u8$IPV4•线路11
安徽卫视,http://tvpull.careryun.com/tv/ahws.m3u8$IPV4•线路12
安徽卫视,http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路13
安徽卫视,http://219.147.245.238:25480/newlive/live/hls/40/live.m3u8$IPV4•线路14
安徽卫视,http://gmxw.7766.org:808/hls/40/index.m3u8$IPV4•线路15
经济生活频道,http://222.173.9.81/00/SNM/CHANNEL00000239/index.m3u8$IPV4•线路1
经济生活频道,http://221.2.36.14/video/s10001-JNTV2-2023/index.m3u8$IPV4•线路2
经济生活频道,http://60.211.179.171/video/s10001-JNTV2-2023/index.m3u8$IPV4•线路3
经济生活频道,http://111.17.177.164/video/s10001-JNTV2-2023/index.m3u8$IPV4•线路4
综艺・体育频道,rtmp://f13h.mine.nu/sat/tv721$IPV4
公共频道,http://tvcdn.stream3.hndt.com/tv/65b93894017e10000ae6b07d00000000_transios/playlist.m3u8?wsSecret=ccf82222255203be6aabbee531db6e40&wsTime=1787986847$IPV4
农业・科教频道,https://idclive.hljtv.com:4430/live/hljgg_hd.m3u8$IPV4
安徽国际频道,https://m.italkbbtv.com/live/6a3a3784260d0d240f66a62c$IPV4•线路1
安徽国际频道,http://183.164.37.17:4022/rtp/238.1.78.61:6360$IPV4•线路2
安徽国际频道,http://183.164.46.181:6688/rtp/238.1.78.61:6360$IPV4•线路3
安徽国际频道,http://183.165.195.249:7000/rtp/238.1.78.61:6360$IPV4•线路4
安徽国际频道,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:7E:2F:ED&stream=156420$IPV4•线路5
合肥新闻频道，,http://222.89.96.36:8001/hls/21/index.m3u8$IPV4•线路1
合肥新闻频道，,http://tvcdn.stream3.hndt.com/tv/65bb6966017e100059b75a8500000000_transios/playlist.m3u8?wsSecret=accb6263a3a579d7d2284e2d5fd1428f&wsTime=1787986847$IPV4•线路2
合肥生活频道，,http://106.111.244.12:58099/rtp/239.49.0.229:8000$IPV4•线路1
合肥生活频道，,http://222.92.94.26:9889/rtp/239.49.0.229:8000$IPV4•线路2
合肥生活频道，,http://121.230.239.193:4022/rtp/239.49.0.229:8000$IPV4•线路3
安徽导视,https://livehls1.appcoo.com/liveshopping/949E0A98C9D0C311/6D925141BC1F8C28/index.m3u8$IPV4•线路1
安徽导视,http://dspdhls.appcoo.com:8888/live/dspd/index.m3u8$IPV4•线路2
池州新闻综合,http://120.76.248.139/live/bfgd/4200000277.m3u8$IPV4
芜湖新闻综合,http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865$IPV4
湾沚综合,http://106.111.244.12:58099/rtp/239.49.0.121:8000$IPV4•线路1
湾沚综合,http://106.111.244.12:58099/rtp/239.49.0.168:8000$IPV4•线路2
湾沚综合,http://106.111.244.12:58099/rtp/239.49.0.237:8000$IPV4•线路3
湾沚综合,http://106.111.244.12:58099/rtp/239.49.0.239:8000$IPV4•线路4
湾沚综合,http://106.111.244.12:58099/rtp/239.49.0.89:8000$IPV4•线路5
湾沚综合,http://222.92.94.26:9889/rtp/239.49.0.121:8000$IPV4•线路6
湾沚综合,http://222.92.94.26:9889/rtp/239.49.0.168:8000$IPV4•线路7
湾沚综合,http://222.92.94.26:9889/rtp/239.49.0.237:8000$IPV4•线路8
湾沚综合,http://222.92.94.26:9889/rtp/239.49.0.239:8000$IPV4•线路9
湾沚综合,http://222.92.94.26:9889/rtp/239.49.0.89:8000$IPV4•线路10
湾沚综合,http://121.230.239.193:4022/rtp/239.49.0.121:8000$IPV4•线路11
湾沚综合,http://121.230.239.193:4022/rtp/239.49.0.168:8000$IPV4•线路12
湾沚综合,http://121.230.239.193:4022/rtp/239.49.0.237:8000$IPV4•线路13
湾沚综合,http://121.230.239.193:4022/rtp/239.49.0.239:8000$IPV4•线路14
湾沚综合,http://121.230.239.193:4022/rtp/239.49.0.89:8000$IPV4•线路15
繁昌新闻综合,http://live.sctvcloud.com/live/longchang/playlist.m3u8$IPV4
南陵新闻综合,https://ls.qingting.fm/live/21303/64k.m3u8$IPV4
无为综合,http://23.247.129.70:2026/live5/shandong/difang.php?id=bzwdzh$IPV4•线路1
无为综合,http://1.94.31.214/php/qilu.php?id=bzwdzh$IPV4•线路2
蚌埠新闻,http://221.13.234.122:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4
